Geneid,shScramble,shDDX41,DMSO,CX5461
ENSG00000027869.12,84.2712756921451,44.23782818962425,246.8243919286352,435.083232892202
ENSG00000198400.14,109.29792821340006,73.78940784273466,93.68525307917795,181.0390458849456
ENSG00000027644.5,1.8401192891519096,3.695856013969277,1.513667752138455,3.722776184357528
ENSG00000187800.14,19.91658524729125,11.3049713368472,11.397027780807193,13.014074728510352
ENSG00000160838.14,19.86689757257253,16.32371285898095,2.971337225790852,11.48372958772856
ENSG00000132694.19,36.43917837131973,44.840304138588856,22.51611903345481,22.54637490511073
ENSG00000253831.3,0.0,0.0,0.0,0.0
ENSG00000117036.12,33.52655093698574,35.101539897098995,24.253589945302817,25.56440055883762
ENSG00000143297.19,0.0,0.0,0.0,0.0
ENSG00000163518.11,0.0,0.0,0.0,0.0
ENSG00000160856.21,0.0,0.0,0.0,0.0
ENSG00000132704.16,0.0,0.0,0.0,0.0
ENSG00000163534.15,0.0,0.0,0.0,0.0
ENSG00000073754.6,0.0,0.0,0.0,0.0
ENSG00000183853.18,0.0,0.0,0.0,0.3513072763984312
ENSG00000288460.1,0.0,0.0,0.0,0.0
ENSG00000158473.8,0.0,0.0,0.0,0.0
ENSG00000158477.7,0.0,0.0,0.0,0.0
ENSG00000158481.13,0.0,0.0,0.0,0.0
ENSG00000158485.11,0.0,0.0,0.0,0.0
ENSG00000158488.16,0.0,0.0,0.0,0.0
ENSG00000186306.1,0.0,0.0,0.0,0.0
ENSG00000180708.6,0.0,0.0,0.0,0.0
ENSG00000173285.5,0.0,0.0,0.0,0.0
ENSG00000198965.5,0.0,0.0,0.0,0.0
ENSG00000197532.3,0.0,0.0,0.0,0.0
ENSG00000186440.3,0.0,0.0,0.0,0.0
ENSG00000279111.2,0.0,0.0,0.0,0.0
ENSG00000198967.5,2.2699557892432223,1.5197257055701596,0.4149439776013477,0.0
ENSG00000163554.15,237.6062224179929,251.4483756239288,75.27407235934541,88.91813770654394
ENSG00000196171.3,0.0,0.0,0.0,0.0
ENSG00000203757.2,0.0,0.0,0.0,0.0
ENSG00000197403.5,0.0,0.0,0.0,0.0
ENSG00000180433.6,0.0,0.0,0.0,0.0
ENSG00000188340.3,0.0,0.0,0.0,0.0
ENSG00000163563.8,0.0,0.0,0.0,0.0
ENSG00000163564.15,0.0,0.0,0.0,0.0
ENSG00000163565.20,0.0,1.8151162894446773,0.0,0.0
ENSG00000289721.1,0.0,0.0,0.0,0.0
ENSG00000163568.16,1.489047666291617,3.738416447370106,6.124394888826616,4.7339557544184485
ENSG00000162706.13,0.0,0.0,0.0,0.0
ENSG00000213088.13,0.0,0.0,0.0,0.0
ENSG00000179639.11,0.0,0.0,0.0,0.0
ENSG00000196266.6,0.0,0.0,0.0,0.0
ENSG00000249730.1,0.0,0.0,0.0,0.0
ENSG00000196184.10,0.0,0.0,0.0,0.0
ENSG00000184155.8,0.0,0.0,0.0,0.0
ENSG00000132703.4,0.0,0.0,0.0,0.0
ENSG00000132693.12,0.0,0.0,0.0,0.0
ENSG00000158716.9,28.92569620190427,58.09689018331392,28.55286207177739,36.7840383045864
ENSG00000181036.14,0.0,0.0,0.0,0.0
ENSG00000158714.11,0.0,0.0,0.0,0.0
ENSG00000256029.6,0.0,0.5931620763160569,0.0,0.0
ENSG00000243284.1,0.0,0.0,0.0,0.0
ENSG00000213085.10,5.463620272320098,1.8289352181804568,2.9962209025961046,3.1581547923202704
ENSG00000158710.15,702.2064413775104,501.27702258433874,678.5407164758591,770.2295553843163
ENSG00000085552.18,0.0,0.0,0.0,0.0
ENSG00000162723.10,0.0,0.0,0.0,0.0
ENSG00000177807.10,0.0,1.536984266845829,0.0,0.0
ENSG00000143315.8,9.5169568236899,8.874675566365555,16.029937926407055,16.50335563398052
ENSG00000162728.5,0.0,0.0,0.0,0.0
ENSG00000162729.14,138.43490022554877,42.63352423521659,66.80694091228366,72.5514582665797
ENSG00000018625.15,0.0,0.7628791391171896,0.0,0.0
ENSG00000132681.17,0.0,0.0,0.0,0.0
ENSG00000143318.13,0.0,0.0,0.0,0.0
ENSG00000162734.13,91.7728693612498,106.0736090871385,95.9076249756444,117.10547699514608
ENSG00000132716.19,23.27672263200706,19.584878022743176,7.934896478446602,6.181899402596141
ENSG00000258465.8,0.0,0.0,0.0,0.0
ENSG00000162735.19,19.282933885425297,12.909841875933882,22.32428331262567,18.576965157692232
ENSG00000122218.17,145.71777975915373,99.28009956003297,131.30336509341126,145.7581526891795
ENSG00000162736.18,110.81735461315402,60.245928754358125,98.4683665996954,101.86369228134572
ENSG00000171786.6,1.871063805942497,0.0,3.0782449398200886,1.081537301450313
ENSG00000162738.7,45.57336902158073,9.87126279412788,25.97228442842474,26.859455687343928
ENSG00000162739.14,3.4845667529460784,6.998707673940364,1.9109182595581369,9.063881252103442
ENSG00000066294.15,3.1016597418443856,1.5574109621264376,1.984423057008456,3.2869151461796813
ENSG00000117090.16,0.0,1.197560522971102,0.0,1.3786096110710122
ENSG00000117091.10,0.0,0.0,0.0,0.0
ENSG00000026751.17,4.94962771756152,6.958884694210722,1.0857400249837874,1.1444199792296503
ENSG00000122224.18,0.0,0.5269371373283681,0.2877484942282652,0.0
ENSG00000122223.13,0.0,0.0,0.0,0.0
ENSG00000179914.5,0.0,35.42274865935701,0.0,0.0
ENSG00000158764.7,0.0,0.0,0.0,0.0
ENSG00000158769.19,18.57794663480572,10.801295932916547,2.144852458919536,1.6955799385704782
ENSG00000270149.5,0.0,0.0,2.482205080769463,1.308179224128879
ENSG00000215845.11,0.0,0.0,0.0,0.0
ENSG00000158773.14,163.84623807517005,222.13107207246856,106.69975307596988,125.48888410089714
ENSG00000186517.14,0.9447689873212808,2.846334607914728,0.0,1.0922159872861177
ENSG00000143217.9,0.0,0.0,0.0,0.0
ENSG00000162755.14,0.0,0.0,0.0,0.0
